InvoiceID,Date,Branch,CustomerType,Gender,ProductLine,UnitPrice,Quantity,TaxPrice,TotalPrice,Revenue,COGS,CustomerRating,GrossIncome
CAR-CLO-001,3/10/2019,Carbon Creek,Normal,Female,Clothing,87.67,2,8.77,184.11,175.34,170.12,7.7,5.22
CAR-CLO-002,1/12/2019,Carbon Creek,Member,Female,Clothing,20.01,9,9,189.09,180.09,174.55,5.7,5.54
CAR-CLO-003,2/10/2019,Carbon Creek,Member,Female,Clothing,30.14,10,15.07,316.47,301.4,284.76,9.2,16.64
CAR-CLO-004,1/29/2019,Carbon Creek,Normal,Male,Clothing,83.24,9,37.46,786.62,749.16,709.6,7.4,39.56
CAR-CLO-005,2/8/2019,Carbon Creek,Normal,Male,Clothing,98.98,10,49.49,1039.29,989.8,955.9,8.7,33.9
CAR-CLO-006,1/11/2019,Carbon Creek,Normal,Male,Clothing,89.69,1,4.48,94.17,89.69,87.36,4.9,2.33
CAR-CLO-007,1/23/2019,Carbon Creek,Member,Male,Clothing,17.94,5,4.49,94.19,89.7,85.88,6.8,3.82
CAR-CLO-008,3/5/2019,Carbon Creek,Normal,Female,Clothing,81.91,2,8.19,172.01,163.82,156.37,7.8,7.45
CAR-CLO-009,3/8/2019,Carbon Creek,Normal,Female,Clothing,61.77,5,15.44,324.29,308.85,292.8,6.7,16.05
CAR-CLO-010,2/3/2019,Carbon Creek,Normal,Male,Clothing,77.02,5,19.26,404.36,385.1,377.39,5.5,7.71
CAR-CLO-011,3/19/2019,Carbon Creek,Normal,Male,Clothing,76.4,9,34.38,721.98,687.6,671.17,7.5,16.43
CAR-CLO-012,2/27/2019,Carbon Creek,Normal,Female,Clothing,77.93,9,35.07,736.44,701.37,674.23,7.6,27.14
CAR-CLO-013,1/14/2019,Carbon Creek,Member,Female,Clothing,96.7,5,24.18,507.68,483.5,468.58,7,14.92
CAR-CLO-014,2/2/2019,Carbon Creek,Member,Male,Clothing,43.13,10,21.57,452.87,431.3,419.05,5.5,12.25
CAR-CLO-015,3/23/2019,Carbon Creek,Normal,Male,Clothing,37.15,4,7.43,156.03,148.6,143.07,8.3,5.53
CAR-CLO-016,3/15/2019,Carbon Creek,Member,Female,Clothing,19.66,10,9.83,206.43,196.6,186.24,7.2,10.36
