InvoiceID,Date,City,CustomerType,Gender,ProductLine,UnitPrice,Quantity,Tax,TotalPrice,Revenue,COGS
OLI-CLO-005,3/26/2019,Olinger,Member,Male,Clothing,48.71,1,2.44,51.15,48.71,45.96
OLI-CLO-006,3/1/2019,Olinger,Normal,Male,Clothing,78.55,9,35.35,742.3,706.95,690.66
OLI-ELE-009,2/1/2019,Olinger,Normal,Female,Electronics,23.07,9,10.38,218.01,207.63,200.86
CAR-FBV-006,3/28/2019,Carbon Creek,Normal,Male,Food and beverages,58.26,6,17.48,367.04,349.56,336.31
GRC-HBE-006,3/19/2019,Greene City,Normal,Male,Health and beauty,30.35,7,10.62,223.07,212.45,206.67
CAR-ELE-006,1/12/2019,Carbon Creek,Member,Male,Electronics,88.67,10,44.34,931.04,886.7,847.41
OLI-CLO-007,1/5/2019,Olinger,Normal,Male,Clothing,27.38,6,8.21,172.49,164.28,157.43
CAR-STR-009,3/22/2019,Carbon Creek,Normal,Male,Sports and travel,62.13,6,18.64,391.42,372.78,362.2
OLI-FBV-008,3/24/2019,Olinger,Normal,Female,Food and beverages,33.98,9,15.29,321.11,305.82,292.96
OLI-ELE-010,3/3/2019,Olinger,Member,Male,Electronics,81.97,10,40.99,860.69,819.7,797.66
GRC-STR-006,2/5/2019,Greene City,Member,Female,Sports and travel,16.49,2,1.65,34.63,32.98,31.55
OLI-HBE-006,2/5/2019,Olinger,Member,Female,Health and beauty,98.21,3,14.73,309.36,294.63,281.95
GRC-CLO-006,2/15/2019,Greene City,Normal,Female,Clothing,72.84,7,25.49,535.37,509.88,495.11
CAR-HML-005,1/19/2019,Carbon Creek,Member,Male,Home and lifestyle,58.07,9,26.13,548.76,522.63,503.04
OLI-HML-005,2/1/2019,Olinger,Member,Female,Home and lifestyle,80.79,9,36.36,763.47,727.11,707.2
OLI-CLO-008,3/2/2019,Olinger,Normal,Female,Clothing,27.02,3,4.05,85.11,81.06,79.1
GRC-CLO-007,3/5/2019,Greene City,Member,Male,Clothing,21.94,5,5.49,115.19,109.7,103.54
