InvoiceID,Date,City,CustomerType,Gender,ProductLine,UnitPrice,Quantity,Tax,TotalPrice,Revenue,COGS,CustomerRating
CAR-CLO-001,3/10/2019,Carbon Creek,Normal,Female,Clothing,87.67,2.0,8.77,184.11,175.34,170.12,7.7
CAR-CLO-002,1/12/2019,Carbon Creek,Member,Female,Clothing,20.01,9.0,9.0,189.09,180.09,174.55,5.7
CAR-CLO-003,2/10/2019,Carbon Creek,Member,Female,Clothing,30.14,10.0,15.07,316.47,301.4,284.76,9.2
CAR-CLO-004,1/29/2019,Carbon Creek,Normal,Male,Clothing,83.24,9.0,37.46,786.62,749.16,709.6,7.4
CAR-CLO-005,2/8/2019,Carbon Creek,Normal,Male,Clothing,98.98,10.0,49.49,1039.29,989.8,955.9,8.7
CAR-CLO-006,1/11/2019,Carbon Creek,Normal,Male,Clothing,89.69,1.0,4.48,94.17,89.69,87.36,4.9
CAR-CLO-007,1/23/2019,Carbon Creek,Member,Male,Clothing,17.94,5.0,4.49,94.19,89.7,85.88,6.8
CAR-CLO-008,3/5/2019,Carbon Creek,Normal,Female,Clothing,81.91,2.0,8.19,172.01,163.82,156.37,7.8
CAR-CLO-009,3/8/2019,Carbon Creek,Normal,Female,Clothing,61.77,5.0,15.44,324.29,308.85,292.8,6.7
CAR-CLO-010,2/3/2019,Carbon Creek,Normal,Male,Clothing,77.02,5.0,19.26,404.36,385.1,377.39,5.5
CAR-CLO-011,3/19/2019,Carbon Creek,Normal,Male,Clothing,76.4,9.0,34.38,721.98,687.6,671.17,7.5
CAR-CLO-012,2/27/2019,Carbon Creek,Normal,Female,Clothing,77.93,9.0,35.07,736.44,701.37,674.23,7.6
CAR-CLO-013,1/14/2019,Carbon Creek,Member,Female,Clothing,96.7,5.0,24.18,507.68,483.5,468.58,7.0
CAR-CLO-014,2/2/2019,Carbon Creek,Member,Male,Clothing,43.13,10.0,21.57,452.87,431.3,419.05,5.5
CAR-CLO-015,3/23/2019,Carbon Creek,Normal,Male,Clothing,37.15,4.0,7.43,156.03,,,8.3
CAR-CLO-016,3/15/2019,Carbon Creek,Member,Female,Clothing,19.66,10.0,9.83,206.43,196.6,186.24,7.2
CAR-CLO-017,1/27/2019,Carbon Creek,Normal,Female,Clothing,54.28,7.0,19.0,398.96,379.96,371.43,9.3
CAR-CLO-018,1/24/2019,Carbon Creek,Member,Male,Clothing,86.68,8.0,34.67,728.11,693.44,666.82,7.2
CAR-CLO-019,2/25/2019,Carbon Creek,Normal,Female,Clothing,73.05,4.0,14.61,306.81,292.2,286.11,4.9
CAR-CLO-020,1/12/2019,Carbon Creek,Normal,Female,Clothing,29.42,10.0,14.71,308.91,294.2,277.97,8.9
CAR-CLO-021,1/1/2019,Carbon Creek,Normal,Female,Clothing,65.74,9.0,29.58,621.24,591.66,577.55,7.7
CAR-CLO-022,2/10/2019,Carbon Creek,Member,Female,Clothing,53.65,7.0,18.78,394.33,375.55,367.42,5.2
CAR-CLO-023,1/23/2019,Carbon Creek,Normal,Male,Clothing,30.61,1.0,1.53,32.14,30.61,29.72,5.2
CAR-CLO-024,1/26/2019,Carbon Creek,Normal,Female,Clothing,12.09,1.0,0.6,12.69,12.09,11.44,8.2
CAR-CLO-025,1/18/2019,Carbon Creek,Member,Female,Clothing,88.15,3.0,13.22,277.67,264.45,250.19,7.9
CAR-CLO-026,2/26/2019,Carbon Creek,Member,Male,Clothing,55.45,1.0,2.77,58.22,55.45,53.39,4.9
CAR-CLO-027,2/4/2019,Carbon Creek,Normal,Female,Clothing,48.63,4.0,9.73,204.25,194.52,186.15,7.6
CAR-CLO-028,1/14/2019,Carbon Creek,Member,Male,Clothing,56.04,10.0,28.02,588.42,560.4,539.55,4.4
CAR-CLO-029,2/27/2019,Carbon Creek,Member,Male,Clothing,21.48,2.0,2.15,45.11,42.96,40.77,6.6
CAR-CLO-030,3/28/2019,Carbon Creek,Member,Female,Clothing,71.46,7.0,25.01,525.23,500.22,475.76,4.5
CAR-CLO-031,2/17/2019,Carbon Creek,Normal,Male,Clothing,45.38,3.0,6.81,142.95,136.14,129.19,7.2
CAR-CLO-032,3/1/2019,Carbon Creek,Member,Female,Clothing,22.32,4.0,4.46,93.74,89.28,85.38,4.4
CAR-CLO-033,2/8/2019,Carbon Creek,Member,Male,Clothing,19.7,1.0,0.99,20.69,19.7,18.91,9.5
CAR-CLO-034,3/9/2019,Carbon Creek,Normal,Female,Clothing,97.29,8.0,38.92,817.24,778.32,751.32,6.2
CAR-CLO-035,1/20/2019,Carbon Creek,Member,Female,Clothing,63.88,8.0,25.55,536.59,511.04,494.65,9.9
CAR-CLO-036,2/5/2019,Carbon Creek,Member,Female,Clothing,30.62,1.0,1.53,32.15,30.62,29.05,4.1
CAR-CLO-037,3/3/2019,Carbon Creek,Normal,Male,Clothing,46.41,1.0,2.32,48.73,46.41,44.83,4.0
CAR-CLO-038,3/4/2019,Carbon Creek,Member,Female,Clothing,48.96,9.0,22.03,462.67,440.64,423.18,8.0
CAR-CLO-039,3/26/2019,Carbon Creek,Member,Male,Clothing,41.28,3.0,6.19,130.03,123.84,119.34,8.5
CAR-CLO-040,3/26/2019,Carbon Creek,Normal,Male,Clothing,52.38,1.0,2.62,55.0,52.38,50.56,5.8
CAR-CLO-041,1/9/2019,Carbon Creek,Member,Male,Clothing,38.54,5.0,9.64,202.34,192.7,188.03,5.6
CAR-CLO-042,2/15/2019,Carbon Creek,Normal,Male,Clothing,51.94,3.0,7.79,163.61,155.82,151.79,7.9
